Compound tag,Compounds
FPS,"[""First-person"", ""Shooter""]"
2D Fighter,"[""2D"", ""Fighting""]"
Open World Survival Craft,"[""Open World"", ""Survival"", ""Crafting""]"
Survival Horror,"[""Survival"", ""Horror""]"
Puzzle-Platformer,"[""Puzzle"", ""Platformer""]"
Combat Racing,"[""Combat"", ""Racing""]"
2D Platformer,"[""2D"", ""Platformer""]"
Top-Down Shooter,"[""Top-Down"", ""Shooter""]"
Turn-Based Combat,"[""Turn-Based"", ""Combat""]"
Turn-Based Strategy,"[""Turn-Based"", ""Strategy""]"
Turn-Based Tactics,"[""Turn-Based"", ""Tactical""]"
Naval Combat,"[""Naval"", ""Combat""]"
Action Roguelike,"[""Action"", ""Roguelike""]"
MMORPG,"[""Massively Multiplayer"", ""RPG""]"
Action RTS,"[""Action"", ""RTS""]"
Dark Comedy,"[""Dark"", ""Comedy""]"
3D Platformer,"[""3D"", ""Platformer""]"
Tactical RPG,"[""Tactical"", ""RPG""]"
RTS,"[""Real-Time"", ""Strategy""]"
Immersive Sim,"[""Immersive"", ""Simulation""]"
Strategy RPG,"[""Strategy"", ""RPG""]"
Farming Sim,"[""Farming"", ""Simulation""]"
Trading Card Game,"[""Trading"", ""Card Game""]"
Political Sim,"[""Political"", ""Simulation""]"
3D Fighter,"[""3D"",""Fighting""]"
Looter Shooter,"[""Loot"", ""Shooter""]"
Roguelike Deckbuilder,"[""Roguelike"", ""Deckbuilding""]"
Third-Person Shooter,"[""Third Person"", ""Shooter""]"
Action-Adventure,"[""Action"", ""Adventure""]"
Psychological Horror,"[""Psychological"", ""Horror""]"
Space Sim,"[""Space"", ""Simulation""]"